story_id,source_url,canonical_url,story_family_key,story_family_count,is_duplicate_url,source_batch,active_flag,published_at,headline_raw,headline,headline_word_count,editorial_team_list,source_tags_raw,source_tags_clean,analysis_basis,analysis_confidence,primary_entity,entity_type,entity_role,secondary_entities,topic_cluster,topic_cluster_label,main_point_of_interest,topic_subject,framing,angle,content_type,tone,framing_scope_flag,hook_type,reader_promise,narrative_device,stakes,specificity_level,evidence_type,audience_fit,replicable_elements,trend_anchor,trend_query_terms,trend_exclusion_notes,trend_fit_score,search_use_case
1,https://www.businessinsider.com/artificial-intelligence,https://www.businessinsider.com/artificial-intelligence,https://www.businessinsider.com/artificial-intelligence,1,no,evergreen stories pull 2026-06-09T1228,yes,2019-02-28,artificial-intelligence,Artificial Intelligence,2,,,,headline only,medium,xAI,organization,organizational_actor,,ai_and_automation,AI and automation,Current development,AI capability and business implications,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in AI, tech, and workplace coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,readers following AI and tech change,"Lead with the event, then make the consequence visible.",AI product adoption and consequences,xAI|ai|artificial intelligence|chatbot|grok|automation|future of work,,55,"Use when the query is about AI products, automation, the future of work, or consumer AI behavior. Anchor: AI product adoption and consequences."
2,https://www.businessinsider.com/lgbtq-cartoon-characters-kids-database-2021-06,https://www.businessinsider.com/lgbtq-cartoon-characters-kids-database-2021-06,https://www.businessinsider.com/lgbtq-cartoon-characters-kids-database-2021-06,1,no,evergreen stories pull 2026-06-09T1228,yes,2021-06-10,We created the first-ever searchable database of 259 LGBTQ characters in cartoons that bust the myth that kids can't handle inclusion,We created the first-ever searchable database of 259 LGBTQ characters in cartoons that bust the myth that kids can't handle inclusion,21,,,,headline only,high,,topic,,,education_and_family,education and family,Current development,Family and caregiving tradeoffs,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in education and parenting coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Highly specific,reporting,parents and family-focused readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,No strong trend anchor beyond the headline itself.,20,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
3,https://www.businessinsider.com/grok-chatbot-rudi-kids-elon-musk-i-tried-why-2025-7,https://www.businessinsider.com/grok-chatbot-rudi-kids-elon-musk-i-tried-why-2025-7,https://www.businessinsider.com/grok-chatbot-rudi-kids-elon-musk-i-tried-why-2025-7,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-07-23,Grok has an AI chatbot for young kids. I used it to try to understand why.,Grok has an AI chatbot for young kids. I used it to try to understand why.,16,Anchors,xAI|AI|Chatbots|Elon Musk|Grok|Artificial Intelligence|Chatbot|AI chatbot,xAI|AI|Chatbots|Elon Musk|Grok|Artificial Intelligence|Chatbot|AI chatbot,headline + source tags,high,xAI,organization,organizational_actor,,ai_and_automation,AI and automation,Current development,Consumer AI chatbot behavior and use cases,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in AI, tech, and workplace coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,readers following AI and tech change,"Lead with the event, then make the consequence visible.",consumer AI behavior,xAI|ai|artificial intelligence|chatbot|grok|automation|future of work,,75,"Use when the query is about AI products, automation, the future of work, or consumer AI behavior. Anchor: consumer AI behavior."
4,https://www.businessinsider.com/katina-dejarnett-competitive-eater-shares-diet-workout-routine-healthy-2023-12,https://www.businessinsider.com/katina-dejarnett-competitive-eater-shares-diet-workout-routine-healthy-2023-12,https://www.businessinsider.com/katina-dejarnett-competitive-eater-shares-diet-workout-routine-healthy-2023-12,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-12-21,"A competitive eater shares her diet and workout routine to stay healthy while tackling 10,000-calorie food challenges","A competitive eater shares her diet and workout routine to stay healthy while tackling 10,000-calorie food challenges",18,Health and Healthcare,workouts|Health|Nutrition|Diet|Bodybuilding|eating challenge|Competitive Eating|Walking,workouts|Health|Nutrition|Diet|Bodybuilding|eating challenge|Competitive Eating|Walking,headline + source tags,high,workouts,topic,,,health_and_wellness,health and wellness,Market consequence,Diet and nutrition habits,market consequence framing,Translate market or business signals into investor or consumer consequences.,Explainer / analysis,"Practical, consequential, investor-facing","Broad, especially strong in health and wellness coverage",financial consequence,What the market or business consequence means.,implication,The stake is whether the business or market signal changes investor or company behavior.,Specific,analysis,health-conscious readers,"Turn business signals into a consequence for investors, workers, or consumers.",health habits and outcomes,business|story|trend,,25,"Use when the query is about health habits, diet, fitness, or medical risk. Anchor: health habits and outcomes."
5,https://www.businessinsider.com/40-years-of-sexual-misconduct-at-rosemead-california-high-school-2023-9,https://www.businessinsider.com/40-years-of-sexual-misconduct-at-rosemead-california-high-school-2023-9,https://www.businessinsider.com/40-years-of-sexual-misconduct-at-rosemead-california-high-school-2023-9,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-10-03,"At Rosemead High, generations of students were harassed or groomed for sex as they tried to get an education","At Rosemead High, generations of students were harassed or groomed for sex as they tried to get an education",19,Investigations,will varner|Child sexual abuse|Sexual Harrassment|Skye Gould|insider investigates|Kazi Awal|Rebecca Zisser|California|INSIDER graphics|Hollis Johnson|Freelance Photography|Public Schools|Annie Fu|insider investigates impact|Researched,will varner|Child sexual abuse|Sexual Harrassment|Skye Gould|insider investigates|Kazi Awal|Rebecca Zisser|California|INSIDER graphics|Hollis Johnson|Freelance Photography|Public Schools|Annie Fu|insider investigates impact|Researched,headline + source tags,high,will varner,topic,,,education_and_family,education and family,Current development,Family and caregiving tradeoffs,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in education and parenting coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,parents and family-focused readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,No strong trend anchor beyond the headline itself.,35,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
6,https://www.businessinsider.com/photos-women-look-different-same-weight-2018-3,https://www.businessinsider.com/photos-women-look-different-same-weight-2018-3,https://www.businessinsider.com/photos-women-look-different-same-weight-2018-3,2,yes,evergreen stories pull 2026-06-09T1228,yes,2018-04-06,14 photos that show just how different women's bodies can look at the same weight,14 photos that show just how different women's bodies can look at the same weight,15,,weight|Fitness|Body Image|Evergeen,weight|Fitness|Body Image|Evergeen,headline + source tags,high,weight,topic,,,health_and_wellness,health and wellness,Current development,Health decisions and wellness outcomes,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in health and wellness coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,health-conscious readers,"Lead with the event, then make the consequence visible.",health habits and outcomes,business|story|trend,,45,"Use when the query is about health habits, diet, fitness, or medical risk. Anchor: health habits and outcomes."
7,https://www.businessinsider.com/bmi-accuracy-signs-youre-not-overweight-2018-11,https://www.businessinsider.com/bmi-accuracy-signs-youre-not-overweight-2018-11,https://www.businessinsider.com/bmi-accuracy-signs-youre-not-overweight-2018-11,1,no,evergreen stories pull 2026-06-09T1228,yes,2021-06-11,"7 signs you don't have overweight or obesity, regardless of BMI","7 signs you don't have overweight or obesity, regardless of BMI",11,,weight|Fat|Obesity|BMI|Freelancer|Evergreen story,weight|Fat|Obesity|BMI,headline + source tags,medium,weight,topic,,,other,other,Current development,A news development with reader consequences,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, reusable",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Moderately specific,reporting,general news readers,"Lead with the event, then make the consequence visible.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,25,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
8,https://www.businessinsider.com/why-am-i-not-losing-weight-stopped-drinking-dry-january-2022-1,https://www.businessinsider.com/why-am-i-not-losing-weight-stopped-drinking-dry-january-2022-1,https://www.businessinsider.com/why-am-i-not-losing-weight-stopped-drinking-dry-january-2022-1,1,no,evergreen stories pull 2026-06-09T1228,yes,2023-01-14,8 reasons you're not losing weight when you give up alcohol for dry January,8 reasons you're not losing weight when you give up alcohol for dry January,14,Health and Parenting|Partnerships,weight|Eating disorders|Alcohol|Dry January|Addiction|Features|Mental Health|Nutrition|Weight Loss|Alcohol Abuse,weight|Eating disorders|Alcohol|Dry January|Addiction|Mental Health|Nutrition|Weight Loss|Alcohol Abuse,headline + source tags,high,weight,topic,,,health_and_wellness,health and wellness,Current development,Health decisions and wellness outcomes,straight-news framing,Lead with the event and make the consequence visible fast.,News / report,"Neutral, informative","Broad, especially strong in health and wellness coverage",current development,The latest development and what it changes.,event lead,The main stake is whether the development changes the story's direction or keeps pressure on the people involved.,Specific,reporting,health-conscious readers,"Lead with the event, then make the consequence visible.",health habits and outcomes,business|story|trend,,35,"Use when the query is about health habits, diet, fitness, or medical risk. Anchor: health habits and outcomes."
9,https://www.businessinsider.com/eli-lilly-retatrutide-gray-market-in-fitness-circles-before-launch-2025-8,https://www.businessinsider.com/eli-lilly-retatrutide-gray-market-in-fitness-circles-before-launch-2025-8,https://www.businessinsider.com/eli-lilly-retatrutide-gray-market-in-fitness-circles-before-launch-2025-8,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-08-30,"Eli Lilly is close to launching the strongest weight-loss drug ever. Somehow, gym bros are already taking it to shred fat.","Eli Lilly is close to launching the strongest weight-loss drug ever. Somehow, gym bros are already taking it to shred fat.",21,Health and Healthcare,weight loss drugs|GLP-1|compounded glp-1|Ozempic|mounjaro|wegovy|zepbound|Tyler Le|BI Illustration,weight loss drugs|GLP-1|compounded glp-1|Ozempic|mounjaro|wegovy|zepbound|Tyler Le|BI Illustration,headline + source tags,high,weight loss drugs,topic,,,space_and_aerospace,space and aerospace,Future implications,SpaceX launch systems and mission risk,science/tech implication framing,Turn a technical development into a reader-relevant consequence.,Explainer / analysis,"Speculative, explanatory, consequential","Broad, especially strong in space and aerospace coverage",technology implication,A forward-looking read on what could change next.,forecast,"The stake is whether a forecast becomes a real shift in behavior, markets, or expectations.",Specific,analysis,readers following space and aerospace,Translate a technical development into real-world stakes.,SpaceX launch system,spacex|starship|rocket|launch|nasa|ipo|funding|valuation|revenue|profit,,55,"Use when the query is about SpaceX, Starship, launch risk, NASA comparisons, or aerospace financing. Anchor: SpaceX launch system."
10,https://www.businessinsider.com/ed-currie-worlds-hottest-pepper-keeps-fields-top-secret-location-2025-6,https://www.businessinsider.com/ed-currie-worlds-hottest-pepper-keeps-fields-top-secret-location-2025-6,https://www.businessinsider.com/ed-currie-worlds-hottest-pepper-keeps-fields-top-secret-location-2025-6,1,no,evergreen stories pull 2026-06-09T1228,yes,2025-06-10,"I invented the world's hottest pepper twice, in a top-secret location where my pickers carry firearms","I invented the world's hottest pepper twice, in a top-secret location where my pickers carry firearms",16,Video,video-to-text|as told to|Hot Pepper|Ed Currie|Carolina reaper|Pepper X|Hot Sauce,video-to-text|Hot Pepper|Ed Currie|Carolina reaper|Pepper X|Hot Sauce,headline + source tags,medium,video-to-text,topic,,,other,other,Utility payoff,A news development with reader consequences,utility / decision-aid framing,"Give the reader a direct payoff, shortcut, or recommendation.",Guide / service,"Helpful, practical, direct","Broad, reusable",utility,"A quick, practical answer the reader can use.",service promise,The stake is whether the reader can use the information immediately.,Moderately specific,mixed,general news readers,"Promise a direct payoff, deliver it early, and make the reader's next step obvious.",broad news interest,business|story|trend,Broad topic only; treat as low-priority unless the query is very specific. No strong trend anchor beyond the headline itself.,25,Use when the query needs a specific story angle rather than a broad topic result. Anchor: broad news interest.
